id,name,image_url,,
1,투어&티켓,"""https://d2mgzmtdeipcjp.cloudfront.net/files/upload/15930630727169.png""",,
2,숙소,"""https://d2mgzmtdeipcjp.cloudfront.net/files/upload/15930630727169.png""",,
3,액티비티 & 체험,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576734670.png""",,
4,레스토랑 & 다이닝,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576390031.png""",,
5,어트랙션 & 공연,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576853155.png""",,
6,교통수단,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576309517.png""",,
7,현지투어,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576133208.png""",,
8,스파 & 라운지,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576638732.png""",,
9,유심 & 와이파이,"""https://d2mgzmtdeipcjp.cloudfront.net/files/categories/15797576929884.png""",,
